id,account,group,IP,url,port,vlan,switchIP,time,day,hour,minute,account_IP,account_url,account_switchIP,account_url_IP,url_IP_switchIP,account_IP__count,account_url__count,account_switchIP__count,account_url_IP__count,url_IP_switchIP__count,ret
37863,122,研发中心,91,889,16665,1000,123,2021/5/9 7:30,9,7,30,8687,49047,8702,226519,200489,134,10,88,1,3,0.2508
37864,122,研发中心,91,959,28161,1000,27,2021/6/12 6:47,12,6,47,8687,49073,8659,226626,216005,134,2,62,1,1,0.4618
37865,122,研发中心,101,497,14772,1000,90,2021/6/5 6:04,5,6,4,8693,48924,8688,225949,106976,115,6,127,1,2,0.2934
37866,122,研发中心,24,674,36815,1000,34,2021/5/8 6:12,8,6,12,8655,48978,8661,226222,147437,118,11,46,3,1,0.2824
37867,122,研发中心,36,312,33217,1000,51,2021/6/26 6:34,26,6,34,8662,48854,8671,225662,65859,66,11,95,1,1,0.1938
37868,122,研发中心,18,346,12383,1000,13,2021/5/12 8:26,12,8,26,8652,48864,8649,225706,73106,100,5,117,1,1,0.2865
37869,122,研发中心,36,481,35541,1000,102,2021/6/15 8:21,15,8,21,8662,48920,8694,225926,103817,66,11,103,1,1,0.1943
37870,122,研发中心,101,691,25364,1000,87,2021/6/13 7:43,13,7,43,8693,48983,8686,226241,151533,115,6,100,1,1,0.1889
37871,122,研发中心,77,377,14681,1000,77,2021/5/9 7:34,9,7,34,8680,48883,8682,225782,81685,87,1,26,1,1,0.3389
37872,122,研发中心,23,59,22828,1000,91,2021/6/21 6:46,21,6,46,8654,48784,8689,225343,14380,119,14,134,2,6,0.3315
37873,122,研发中心,13,369,25212,1000,73,2021/6/4 8:47,4,8,47,8649,48876,8680,225741,77670,142,4,122,1,1,0.4986
37874,122,研发中心,38,6,36815,1000,123,2021/6/28 7:05,28,7,5,8664,48769,8702,225256,1872,93,7,88,1,2,0.1434
37875,122,研发中心,67,781,28161,1000,91,2021/5/26 6:22,26,6,22,8675,49018,8689,226411,173548,45,10,134,1,1,0.3329
37876,122,研发中心,125,1011,21782,1000,34,2021/6/19 7:19,19,7,19,8703,49094,8661,226734,230448,119,5,46,1,1,0.3237
37877,122,研发中心,39,1236,13365,1000,95,2021/5/16 8:54,16,8,54,8665,49156,8692,226979,277475,83,7,88,1,1,0.1133
37878,122,研发中心,91,512,37518,1000,90,2021/5/9 7:27,9,7,27,8687,48931,8688,225972,110015,134,8,127,1,3,0.2687
37879,122,研发中心,6,157,14115,1000,53,2021/5/2 7:06,2,7,6,8647,48791,8672,225368,21475,8,7,13,1,1,0.6042
37880,122,研发中心,81,725,12726,1000,102,2021/6/26 7:24,26,7,24,8684,48996,8694,226303,158803,37,12,103,1,1,0.3623
37881,122,研发中心,23,748,25846,1000,91,2021/6/13 7:34,13,7,34,8654,49007,8689,226361,165177,119,8,134,2,3,0.238
37882,122,研发中心,131,6,35333,1000,15,2021/6/24 8:07,24,8,7,8705,48769,8651,225260,2168,28,7,112,1,2,0.4585
